"","A20_102_A40_ROI017_1PanCKpos","A20_102_A40_ROI018_1PanCKpos","A20_102_A40_ROI019_1PanCKpos","A20_102_A40_ROI020_1PanCKpos","A20_102_A40_ROI021_1PanCKpos","A20_102_A40_ROI022_1PanCKpos","A20_102_A40_ROI023_1PanCKpos","A20_102_A40_ROI024_1PanCKpos","A20_102_A40_ROI025_1PanCKpos","A20_102_A40_ROI026_1PanCKpos","A20_102_A40_ROI027_1PanCKpos","A20_102_A40_ROI028_1PanCKpos","A20_102_A40_ROI029_1PanCKpos","A20_102_A40_ROI030_1PanCKpos","A20_102_A40_ROI031_1PanCKpos","A20_102_A40_ROI032_1PanCKpos","A20_104_A31_ROI017_1PanCKpos","A20_104_A31_ROI018_1PanCKpos","A20_104_A31_ROI019_1PanCKpos","A20_104_A31_ROI020_1PanCKpos","A20_104_A31_ROI021_1PanCKpos","A20_104_A31_ROI022_1PanCKpos","A20_104_A31_ROI023_1PanCKpos","A20_104_A31_ROI024_1PanCKpos","A20_104_A31_ROI025_1PanCKpos","A20_104_A31_ROI026_1PanCKpos","A20_104_A31_ROI027_1PanCKpos","A20_104_A31_ROI028_1PanCKpos"
"GAPDH",1223.98,1225.88,1692.98,747.77,786.08,1164.68,1300.74,1441.35,357.94,391.96,290.16,342.04,314.87,267.34,437.18,794.79,906.94,933.42,503.82,959.55,739.84,663.15,581.14,647.76,883.83,767.33,918.49,490.55
"Histone H3",5893.43,6950.13,9040.23,3862.88,4450.47,5801.65,8162.13,7952.01,5380.9,6306.32,6022.47,4950.65,4367.92,5482.58,5815.77,7680.94,2213.67,3130.68,2840.83,2568.27,2229.41,3436.37,2548.57,3042.13,2838.49,2729.04,3038.07,1590.01
"S6",2816.85,2718.96,3711.09,1857.46,1942.17,2922.34,3711.98,3669.96,1101.05,1372.17,1280.15,1225.89,1142.39,1013.87,1478.46,2826.9,514.06,637.33,524.26,568.6,548.47,602.61,478.84,719.58,630.39,583.85,685.03,447.59
"Ms IgG1",22.6,18.58,28.51,17.25,12.52,16.47,22.59,29.49,11.28,14.72,14.28,14.27,9.38,15.41,15.12,34.37,6.66,22.08,10.16,25.48,9.37,22.29,15.09,26.61,16.27,14.1,19.69,10.58
"Ms IgG2a",36.44,38.84,47.81,19.67,13.81,22.9,35.75,42.92,27.57,39.46,11.46,14.86,15.39,18.2,13.75,28.73,20.97,28.75,12.74,30.23,32.45,29.74,18.87,45.65,34.11,25.98,34.4,17.33
"Rb IgG",39.18,50.88,59.98,21.22,20.89,37.22,35.87,42.16,35.15,32.38,29.21,35.67,25.23,26.25,36.09,46.51,23.35,30.98,16.7,31.25,17.32,26.78,21.15,38.07,26.37,31.94,36.86,28.29
"4-1BB",42.55,44.78,62.85,25.55,14.28,41.72,32.19,42.5,34.18,33.79,39.28,37.77,22.91,32.16,29.92,52.55,42.58,59.63,38.26,57.78,37.04,38.18,35.18,52.82,46.44,45.89,47.77,42.91
"ARG1",89.84,89.22,128.86,45.19,58.02,67.92,95.82,112.37,79.47,79.19,65.12,77.97,69.71,56.58,71.11,99.93,2282.3,2947.76,1560.63,2946.27,3060.23,2563.04,2900.3,3939.96,4191.84,3889.24,4534.49,2550.4
"B7-H3",465.83,463.26,591.3,313.72,345.58,367.97,494.9,540.63,217.26,225.65,245.57,225.39,212.78,214.06,219.67,385.16,80.13,112.5,92.69,101.56,62.19,137.25,87.3,128.13,88.85,97.15,88.76,61.68
"BAD",610.63,668.24,808.9,333.24,293.74,456.23,586.95,582.65,387.1,493.17,418.39,404.68,403.09,349.97,512.27,785.05,535.64,712.6,376.02,617.23,590.51,547.05,533.96,695.95,737.08,676.14,868.89,488.46
"BCL6",46.58,56.34,82.24,33.64,26.59,52.18,45.48,60.85,45.36,44.18,44.37,52.75,47.01,40.26,49.41,90.31,28.4,52.26,28.41,46.15,48.69,49.42,47.83,66.39,65.22,69.4,47.41,37.08
"BCLXL",391.76,436.63,510.67,252.43,229.19,377.8,501.67,423.72,238.96,255.85,241.41,242.89,239.1,236.34,249.14,440.47,118.68,148.92,114.1,155.88,120.9,157.71,119.39,171.51,145.35,162.42,157.58,103.13
"Beta-2-microglobulin",194.14,207.02,265.11,137.65,150.86,223.33,219.65,247.72,102.59,106.37,112.96,103.57,94.84,100.4,105.59,185.04,66.83,87.47,56.93,80.72,62.29,61.16,45.02,96.24,52.6,63.36,98.56,54.24
"BIM",43.01,49.84,57.49,30.16,25.11,39.31,41.66,45.27,37.12,37.38,28.4,41.85,25.75,22.56,34.08,43.52,30.31,35.97,14.77,35.4,24.94,39.31,25.33,48.75,42.56,36.99,36.96,25.72
"BRAF",2.05,6.12,2.95,1.38,3.54,1.35,4.22,4.21,2.35,2.96,1.33,2.35,3.35,2.64,3.52,3.47,2.35,4.02,2.48,2.37,0.68,1.4,5.68,7.16,2.19,2.1,2.86,1.34
"CD11c",112.73,140.78,122.01,50.25,53.64,103.98,113.75,107.08,61.03,77.91,73.94,46.7,57.01,59.94,64.72,92.23,30.39,41.67,27.5,51.27,26.63,50.2,27.87,34.52,35.16,27.41,51.58,26.05
"CD127",118.42,109.58,128.84,69.71,68.91,107.23,155.32,137.43,94.05,110.81,90.94,104.12,69.84,78.46,88.4,160.42,61.34,71.27,59.71,67.73,64.04,59.63,54.78,88.64,75.49,68.76,66.25,57.67
"CD14",490.03,453.81,567.84,316.42,302.69,411.29,388.77,518.69,288,339.5,290.09,230.32,211.39,244.01,258.71,369.27,185.49,283.12,184.26,291.98,279.13,280.55,229.03,392.39,329.91,318.37,384.83,242.14
"CD163",496.32,476.68,552.21,298.92,374.98,412.64,476.71,440.04,157.25,147.47,186.99,139.09,117.58,125.49,147.48,289.66,45.84,60.5,52.43,55.68,51.67,77.34,40.75,83.64,73.79,74.32,66.37,62.51
"CD20",36.8,32.66,73.28,25.99,29,35.8,40.98,46.39,22.82,30.31,18.33,19.72,20.87,21.36,17.72,29.97,22.99,39.07,39.05,37.44,25.49,22.85,17.98,36.84,21.44,21.11,22.56,23.82
"CD25",39.25,44.79,41.33,47.05,31.8,59.4,68.6,80.34,43.66,53.81,32.59,37.45,32.01,32.36,40.54,59.58,33.78,45.31,31.78,40.88,28.67,40.92,24.62,42.66,37.92,43.13,49.65,21.49
"CD27",25.36,26.98,29.23,6.38,10.38,13.66,15.5,28.31,15.83,19.67,14.82,16.67,17.64,12.04,18.54,28.85,13,14.86,12.96,16.08,18.02,16.34,12.82,19.77,15.49,11.13,16.41,20.7
"CD3",66.24,54.34,91.4,50.7,85.93,65.78,54.51,78.28,39.53,58.55,40.59,29.16,42.81,49.75,40.29,54.99,34.79,32.8,25.25,32.28,21.19,18.32,20.75,35.34,29.39,29.56,37.96,23.3
"CD34",393.36,430.09,595.73,243.58,271.07,309.52,414.39,507.23,338.88,508.55,320.01,314.48,444.96,418.21,349.35,473.15,248.32,351.82,339.48,320.07,235.81,338.04,369.4,500.86,353.3,372.94,410.34,242.57
"CD4",115.5,117.42,174.16,79.6,84.49,92.96,101.65,131.27,73.39,64.03,72.33,70.5,51.38,75.5,60.88,78.47,47.06,77.13,54.34,60.29,51.91,72.17,57.49,95.52,60.98,62.13,72.84,45.93
